StudentID,Name,Age,Class,Math,Science,English
1,John Doe,15,10A,85,78,90
2,Jane Smith,14,10B,92,88,85
3,Alex Johnson,16,10A,75,95,80
4,Mary Lee,15,10B,88,82,87
5,Chris Green,15,10A,80,79,75
6,Linda White,14,10B,90,85,89
7,Michael Brown,16,10A,70,90,78
8,Susan Clark,15,10B,85,88,82
9,David Wilson,14,10A,95,92,91
10,Emma Davis,15,10B,88,84,86
11,James Miller,16,10A,72,80,75
12,Patricia Garcia,15,10B,91,90,93
13,Robert Martinez,14,10A,85,87,89
14,Jennifer Hernandez,15,10B,79,83,80
15,William Lopez,16,10A,88,90,85
16,Elizabeth Gonzalez,15,10B,92,91,94
17,Charles Wilson,14,10A,75,77,80
18,Maria Anderson,15,10B,89,85,88
19,Joseph Thomas,16,10A,82,84,80
20,Sarah Taylor,14,10B,90,92,91
21,Daniel Moore,15,10A,85,88,83
22,Karen Jackson,16,10B,87,86,89
23,Matthew Martin,15,10A,90,91,88
24,Nancy Lee,14,10B,85,80,82
25,Steven Perez,15,10A,88,89,90
